repetition,mode,delta,best_test_accuracy,final_train_loss,final_test_loss,final_avg_spikes,layer4_linearity_spike_count,internal_metrics
0,expansive_delta_-1.5,-1.5,99.0625,0.031241057583341194,0.5736815651257833,475.43541666666664,0.9930555555555556,"{'layer1_rate_mean': 0.5328808744748433, 'layer1_sparsity_mean': 0.46711912552515666, 'layer2_rate_mean': 0.3464160223801931, 'layer2_sparsity_mean': 0.6535839716593425, 'layer3_rate_mean': 0.41343425114949545, 'layer3_sparsity_mean': 0.5865657409032186, 'layer4_rate_mean': 0.11489583402872086, 'layer4_sparsity_mean': 0.8851041714350383}"
0,tough_delta_2.0,2.0,95.83333333333333,0.02243884903709254,1.1690167228380839,316.9625,0.9618055555555556,"{'layer1_rate_mean': 0.29097657004992167, 'layer1_sparsity_mean': 0.7090234200159709, 'layer2_rate_mean': 0.36121094425519307, 'layer2_sparsity_mean': 0.6387890537579854, 'layer3_rate_mean': 0.3844270904858907, 'layer3_sparsity_mean': 0.6155728975931803, 'layer4_rate_mean': 0.14916666746139526, 'layer4_sparsity_mean': 0.8508333365122477}"
0,dissipative_delta_10.0,10.0,98.75,0.027043692106681484,0.6448857347170512,407.3041666666667,0.9895833333333334,"{'layer1_rate_mean': 0.3684472660223643, 'layer1_sparsity_mean': 0.6315527200698853, 'layer2_rate_mean': 0.2938704490661621, 'layer2_sparsity_mean': 0.7061295588811238, 'layer3_rate_mean': 0.22906250258286795, 'layer3_sparsity_mean': 0.7709374944368999, 'layer4_rate_mean': 0.0504166675110658, 'layer4_sparsity_mean': 0.9495833357175191}"
1,expansive_delta_-1.5,-1.5,99.0625,0.02750889516826118,0.44883776307106016,488.9375,0.9756944444444444,"{'layer1_rate_mean': 0.5476823051770529, 'layer1_sparsity_mean': 0.4523176948229472, 'layer2_rate_mean': 0.4220800817012787, 'layer2_sparsity_mean': 0.5779199163118999, 'layer3_rate_mean': 0.42054362495740255, 'layer3_sparsity_mean': 0.579456377029419, 'layer4_rate_mean': 0.19593750238418578, 'layer4_sparsity_mean': 0.8040625015894572}"
1,tough_delta_2.0,2.0,98.95833333333333,0.023715110920039157,0.6161256074905396,240.90625,0.9756944444444444,"{'layer1_rate_mean': 0.22672851781050365, 'layer1_sparsity_mean': 0.7732714811960856, 'layer2_rate_mean': 0.28080078959465027, 'layer2_sparsity_mean': 0.7191992084185282, 'layer3_rate_mean': 0.26911133925120034, 'layer3_sparsity_mean': 0.7308886528015137, 'layer4_rate_mean': 0.17656250397364298, 'layer4_sparsity_mean': 0.823437507947286}"
1,dissipative_delta_10.0,10.0,53.541666666666664,0.02913547913363624,1.5855559905370076,344.73125,0.9756944444444444,"{'layer1_rate_mean': 0.3137955745061239, 'layer1_sparsity_mean': 0.6862044135729471, 'layer2_rate_mean': 0.35044596989949545, 'layer2_sparsity_mean': 0.6495540181795756, 'layer3_rate_mean': 0.3648372451464335, 'layer3_sparsity_mean': 0.6351627429326375, 'layer4_rate_mean': 0.35479167103767395, 'layer4_sparsity_mean': 0.6452083230018616}"
2,expansive_delta_-1.5,-1.5,79.27083333333333,0.09934087157730133,1.4432807922363282,457.7447916666667,0.7916666666666666,"{'layer1_rate_mean': 0.5058040539423625, 'layer1_sparsity_mean': 0.49419594605763756, 'layer2_rate_mean': 0.21576497753461202, 'layer2_sparsity_mean': 0.7842350323994954, 'layer3_rate_mean': 0.10105143388112386, 'layer3_sparsity_mean': 0.8989485700925192, 'layer4_rate_mean': 0.03177083370586236, 'layer4_sparsity_mean': 0.9682291626930237}"
2,tough_delta_2.0,2.0,49.791666666666664,0.03881262999118095,1.5614796559015909,254.5375,0.5034722222222222,"{'layer1_rate_mean': 0.009104817981521289, 'layer1_sparsity_mean': 0.9908951878547668, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
2,dissipative_delta_10.0,10.0,49.791666666666664,0.039281910255311,1.1785157521565754,323.815625,0.5034722222222222,"{'layer1_rate_mean': 0.02812500111758709, 'layer1_sparsity_mean': 0.971875011920929, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
3,expansive_delta_-1.5,-1.5,98.22916666666667,0.023979995628788827,0.8132999658584594,512.2947916666667,0.9930555555555556,"{'layer1_rate_mean': 0.5385254065195719, 'layer1_sparsity_mean': 0.4614745934804281, 'layer2_rate_mean': 0.4625553488731384, 'layer2_sparsity_mean': 0.5374446471532186, 'layer3_rate_mean': 0.5248079538345337, 'layer3_sparsity_mean': 0.4751920461654663, 'layer4_rate_mean': 0.2741666754086812, 'layer4_sparsity_mean': 0.7258333206176758}"
3,tough_delta_2.0,2.0,98.54166666666667,0.02613266210462297,1.0149130384127298,240.46145833333333,0.9930555555555556,"{'layer1_rate_mean': 0.2394954452912013, 'layer1_sparsity_mean': 0.7605045517285665, 'layer2_rate_mean': 0.24855143427848816, 'layer2_sparsity_mean': 0.7514485716819763, 'layer3_rate_mean': 0.2299837271372477, 'layer3_sparsity_mean': 0.7700162728627523, 'layer4_rate_mean': 0.05083333378036817, 'layer4_sparsity_mean': 0.9491666674613952}"
3,dissipative_delta_10.0,10.0,97.60416666666667,0.030347881425592686,0.5596840580304464,383.76666666666665,0.9791666666666666,"{'layer1_rate_mean': 0.3811914126078288, 'layer1_sparsity_mean': 0.6188085873921713, 'layer2_rate_mean': 0.4072851618131002, 'layer2_sparsity_mean': 0.5927148381868999, 'layer3_rate_mean': 0.39725260734558104, 'layer3_sparsity_mean': 0.6027473926544189, 'layer4_rate_mean': 0.052187500645716985, 'layer4_sparsity_mean': 0.9478124976158142}"
4,expansive_delta_-1.5,-1.5,98.95833333333333,0.02704228206177152,0.6454921126365661,536.453125,0.9861111111111112,"{'layer1_rate_mean': 0.5733463644981385, 'layer1_sparsity_mean': 0.4266536355018616, 'layer2_rate_mean': 0.4199251353740692, 'layer2_sparsity_mean': 0.5800748626391093, 'layer3_rate_mean': 0.4144075552622477, 'layer3_sparsity_mean': 0.5855924526850382, 'layer4_rate_mean': 0.17645833591620128, 'layer4_sparsity_mean': 0.8235416690508525}"
4,tough_delta_2.0,2.0,97.60416666666667,0.025574056033585823,0.6319355964660645,278.096875,0.9791666666666666,"{'layer1_rate_mean': 0.29160807728767396, 'layer1_sparsity_mean': 0.7083919246991476, 'layer2_rate_mean': 0.288470063606898, 'layer2_sparsity_mean': 0.7115299224853515, 'layer3_rate_mean': 0.2793164094289144, 'layer3_sparsity_mean': 0.7206835865974426, 'layer4_rate_mean': 0.14739583532015482, 'layer4_sparsity_mean': 0.8526041666666667}"
4,dissipative_delta_10.0,10.0,72.60416666666667,0.021991824626081413,0.9176235636075337,328.54479166666664,0.7291666666666666,"{'layer1_rate_mean': 0.24664713939030966, 'layer1_sparsity_mean': 0.7533528725306193, 'layer2_rate_mean': 0.1300390640894572, 'layer2_sparsity_mean': 0.8699609359105428, 'layer3_rate_mean': 0.05815755253036817, 'layer3_sparsity_mean': 0.9418424407641093, 'layer4_rate_mean': 0.02364583343733102, 'layer4_sparsity_mean': 0.976354165871938}"
5,expansive_delta_-1.5,-1.5,99.0625,0.039433403947060144,0.6131258090337117,525.2979166666667,0.9895833333333334,"{'layer1_rate_mean': 0.5088964978853862, 'layer1_sparsity_mean': 0.49110350211461384, 'layer2_rate_mean': 0.4314192791779836, 'layer2_sparsity_mean': 0.5685807148615519, 'layer3_rate_mean': 0.35810547272364296, 'layer3_sparsity_mean': 0.641894523302714, 'layer4_rate_mean': 0.08885416835546493, 'layer4_sparsity_mean': 0.911145830154419}"
5,tough_delta_2.0,2.0,49.791666666666664,0.03779571486126271,0.8008753339449565,308.8208333333333,0.5034722222222222,"{'layer1_rate_mean': 0.00937500037252903, 'layer1_sparsity_mean': 0.9906250238418579, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
5,dissipative_delta_10.0,10.0,49.791666666666664,0.03992104142784111,1.488706111907959,409.153125,0.5034722222222222,"{'layer1_rate_mean': 0.06251302237312, 'layer1_sparsity_mean': 0.937486986319224, 'layer2_rate_mean': 0.002490234406044086, 'layer2_sparsity_mean': 0.997509773572286, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
6,expansive_delta_-1.5,-1.5,78.33333333333333,0.16872084092709325,2.149596118927002,416.12291666666664,0.7708333333333334,"{'layer1_rate_mean': 0.53177410364151, 'layer1_sparsity_mean': 0.46822589635849, 'layer2_rate_mean': 0.34003255764643353, 'layer2_sparsity_mean': 0.6599674463272095, 'layer3_rate_mean': 0.2259472668170929, 'layer3_sparsity_mean': 0.7740527391433716, 'layer4_rate_mean': 0.07156250228484472, 'layer4_sparsity_mean': 0.9284374952316284}"
6,tough_delta_2.0,2.0,49.791666666666664,0.03260606029371341,0.6455165346463522,293.86354166666666,0.5034722222222222,"{'layer1_rate_mean': 0.0031250000465661287, 'layer1_sparsity_mean': 0.996874988079071, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
6,dissipative_delta_10.0,10.0,49.791666666666664,0.04491609706723642,0.7365286191304524,394.46979166666665,0.5034722222222222,"{'layer1_rate_mean': 0.02644531304637591, 'layer1_sparsity_mean': 0.9735546906789144, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
7,expansive_delta_-1.5,-1.5,98.75,0.04085566083930673,0.4195098797480265,457.7114583333333,0.9826388888888888,"{'layer1_rate_mean': 0.49604167143503824, 'layer1_sparsity_mean': 0.5039583285649617, 'layer2_rate_mean': 0.31795573433240254, 'layer2_sparsity_mean': 0.682044251759847, 'layer3_rate_mean': 0.29195313254992167, 'layer3_sparsity_mean': 0.7080468614896138, 'layer4_rate_mean': 0.15885416865348817, 'layer4_sparsity_mean': 0.8411458253860473}"
7,tough_delta_2.0,2.0,50.208333333333336,0.03173835917315897,1.2104626337687174,229.07916666666668,0.5034722222222222,"{'layer1_rate_mean': 0.17812500794728597, 'layer1_sparsity_mean': 0.821874984105428, 'layer2_rate_mean': 0.10930664092302322, 'layer2_sparsity_mean': 0.8906933625539144, 'layer3_rate_mean': 0.0768359382947286, 'layer3_sparsity_mean': 0.9231640696525574, 'layer4_rate_mean': 0.10000000149011612, 'layer4_sparsity_mean': 0.8999999761581421}"
7,dissipative_delta_10.0,10.0,95.52083333333333,0.02723663851183148,0.5872044702370961,325.16770833333334,0.9548611111111112,"{'layer1_rate_mean': 0.2783007899920146, 'layer1_sparsity_mean': 0.7216992100079854, 'layer2_rate_mean': 0.3595442771911621, 'layer2_sparsity_mean': 0.6404557188351949, 'layer3_rate_mean': 0.4526204486687978, 'layer3_sparsity_mean': 0.5473795572916667, 'layer4_rate_mean': 0.04656250104308128, 'layer4_sparsity_mean': 0.9534374992052714}"
8,expansive_delta_-1.5,-1.5,98.75,0.023143750904578594,0.5828523159027099,511.234375,0.9895833333333334,"{'layer1_rate_mean': 0.5643034021059672, 'layer1_sparsity_mean': 0.4356965978940328, 'layer2_rate_mean': 0.4565722743670146, 'layer2_sparsity_mean': 0.5434277216593425, 'layer3_rate_mean': 0.5422558705012004, 'layer3_sparsity_mean': 0.45774412949879967, 'layer4_rate_mean': 0.3167708396911621, 'layer4_sparsity_mean': 0.6832291523615519}"
8,tough_delta_2.0,2.0,49.791666666666664,0.033374101036198194,0.9339823047320048,286.10833333333335,0.5034722222222222,"{'layer1_rate_mean': 0.02187499962747097, 'layer1_sparsity_mean': 0.9781249761581421, 'layer2_rate_mean': 0.0, 'layer2_sparsity_mean': 1.0, 'layer3_rate_mean': 0.0, 'layer3_sparsity_mean': 1.0, 'layer4_rate_mean': 0.0, 'layer4_sparsity_mean': 1.0}"
8,dissipative_delta_10.0,10.0,98.75,0.03759857981405672,0.7537432193756104,397.60729166666664,0.9895833333333334,"{'layer1_rate_mean': 0.3477669358253479, 'layer1_sparsity_mean': 0.6522330522537232, 'layer2_rate_mean': 0.44211589097976683, 'layer2_sparsity_mean': 0.5578840931256612, 'layer3_rate_mean': 0.38836589455604553, 'layer3_sparsity_mean': 0.611634095509847, 'layer4_rate_mean': 0.049583334227403006, 'layer4_sparsity_mean': 0.9504166722297669}"
9,expansive_delta_-1.5,-1.5,99.0625,0.04310399954838137,0.4669755756855011,494.3020833333333,0.9965277777777778,"{'layer1_rate_mean': 0.5827050884564717, 'layer1_sparsity_mean': 0.4172949115435282, 'layer2_rate_mean': 0.33499675393104555, 'layer2_sparsity_mean': 0.66500324010849, 'layer3_rate_mean': 0.21110677421092988, 'layer3_sparsity_mean': 0.7888932228088379, 'layer4_rate_mean': 0.052916667858759564, 'layer4_sparsity_mean': 0.9470833381017049}"
9,tough_delta_2.0,2.0,64.89583333333333,0.026824868607124495,0.8574529886245728,243.95833333333334,0.6458333333333334,"{'layer1_rate_mean': 0.14339192807674409, 'layer1_sparsity_mean': 0.8566080689430237, 'layer2_rate_mean': 0.08130208452542623, 'layer2_sparsity_mean': 0.9186979174613953, 'layer3_rate_mean': 0.06938802152872085, 'layer3_sparsity_mean': 0.9306119879086813, 'layer4_rate_mean': 0.08531250109275182, 'layer4_sparsity_mean': 0.9146874984105428}"
